timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2021-01-01 17:00:00,29300.79000000,29339.76000000,28937.00000000,29079.64000000,2504.97709900,1609523999999,73023440.33533108,58010,1019.11805100,29715488.81612700,0
2021-01-01 18:00:00,29077.59000000,29259.98000000,28624.57000000,29072.70000000,4226.43004100,1609527599999,122480565.74309262,88856,1801.54203200,52236804.42358850,0
2021-01-01 19:00:00,29072.70000000,29125.32000000,28950.00000000,29029.04000000,1629.22872100,1609531199999,47324728.28361069,49038,752.04501500,21847593.00496335,0
2021-01-01 20:00:00,29029.04000000,29279.72000000,28880.37000000,29200.96000000,1838.54908200,1609534799999,53590098.13888548,52949,960.22896300,27992651.84744214,0
2021-01-01 21:00:00,29200.97000000,29289.82000000,29130.00000000,29160.39000000,1447.22964100,1609538399999,42285361.51600605,34181,776.32409300,22684651.47220357,0
2021-01-01 22:00:00,29163.17000000,29326.74000000,29104.57000000,29262.32000000,1127.03589700,1609541999999,32972283.53778708,37533,552.48585500,16165226.57121833,0
2021-01-01 23:00:00,29262.32000000,29338.89000000,29228.14000000,29331.69000000,971.12338500,1609545599999,28443882.37070015,28620,523.74728700,15341792.07335345,0
2021-01-02 00:00:00,29331.70000000,29338.59000000,28946.53000000,29197.48000000,2638.15937900,1609549199999,76856531.55900287,56787,1247.24618700,36330827.26651437,0
2021-01-02 01:00:00,29197.93000000,29400.00000000,29100.00000000,29359.47000000,1891.99724900,1609552799999,55385402.78970417,41136,960.49200100,28127469.61077394,0
2021-01-02 02:00:00,29359.46000000,29469.00000000,29320.01000000,29323.82000000,1704.83013700,1609556399999,50111457.75322650,34864,919.10250700,27018817.34672662,0
2021-01-02 03:00:00,29323.82000000,29382.49000000,29256.85000000,29351.95000000,1158.04176100,1609559999999,33963115.16512242,33338,563.83224300,16536321.44525508,0
2021-01-02 04:00:00,29351.95000000,29396.00000000,29220.00000000,29349.63000000,988.71107000,1609563599999,28985783.95102539,36593,513.99851400,15069817.63238660,0
2021-01-02 05:00:00,29349.63000000,29590.00000000,29349.63000000,29589.99000000,2778.87823100,1609567199999,81957934.92152147,48203,1889.25015400,55722199.46021065,0
2021-01-02 06:00:00,29589.99000000,29745.00000000,29450.00000000,29709.07000000,3030.24082000,1609570799999,89791157.01909066,61113,1919.61728100,56884432.27238282,0
2021-01-02 07:00:00,29709.06000000,29820.50000000,29623.31000000,29750.00000000,3067.81272400,1609574399999,91222945.57779763,56853,1999.91714500,59479642.41147299,0
2021-01-02 08:00:00,29751.47000000,29849.11000000,29640.00000000,29844.51000000,2358.08824100,1609577999999,70213292.48882387,55194,1185.87901000,35308597.74347598,0
2021-01-02 09:00:00,29844.52000000,29899.00000000,29578.05000000,29612.87000000,3188.49737500,1609581599999,94891130.35379542,63645,1490.10338400,44368671.01529736,0
2021-01-02 10:00:00,29612.88000000,29829.00000000,29473.91000000,29680.99000000,2315.18233700,1609585199999,68694488.75869353,49466,1119.01804200,33209227.51330484,0
2021-01-02 11:00:00,29679.51000000,29780.53000000,29622.79000000,29755.00000000,1365.03665500,1609588799999,40570945.42355006,29571,598.18892600,17778425.81689583,0
2021-01-02 12:00:00,29754.99000000,30888.00000000,29741.39000000,30604.03000000,12772.56604400,1609592399999,387025691.68456484,200036,7693.61308900,232831158.19322058,0
2021-01-02 13:00:00,30604.03000000,31561.87000000,30521.00000000,31541.17000000,9182.42970300,1609595999999,284862696.67061101,155703,5000.51248100,155171075.80361159,0
2021-01-02 14:00:00,31546.06000000,31567.89000000,31065.00000000,31290.53000000,6447.78389700,1609599599999,201609364.53663465,115280,3104.82695800,97083027.72110683,0
2021-01-02 15:00:00,31290.53000000,31800.00000000,31236.37000000,31691.29000000,5626.19375500,1609603199999,177435149.22325535,97954,2936.49097300,92602951.94086850,0
2021-01-02 16:00:00,31691.09000000,33000.00000000,31616.42000000,32482.28000000,15432.28518600,1609606799999,500065150.69207718,243515,7704.18957300,249664588.17049993,0
2021-01-02 17:00:00,32484.28000000,32935.00000000,32394.77000000,32856.96000000,6402.18070100,1609610399999,209101591.46210164,106138,3400.89904700,111088781.87106785,0
2021-01-02 18:00:00,32856.95000000,33300.00000000,32421.00000000,32999.98000000,7170.29541200,1609613999999,235363454.12117517,107993,3731.00286900,122570325.41192683,0
2021-01-02 19:00:00,32999.98000000,33220.00000000,32690.00000000,33027.20000000,5844.85649900,1609617599999,192991798.29034694,100521,3074.28482400,101527404.04491779,0
2021-01-02 20:00:00,33027.20000000,33061.37000000,30550.00000000,30667.22000000,15733.28311200,1609621199999,504482345.09340442,213120,7147.18982200,229365443.72211530,0
2021-01-02 21:00:00,30669.43000000,32005.94000000,30300.00000000,31694.59000000,10395.12064200,1609624799999,326513926.94158377,161944,5285.50818400,165946681.21302372,0
2021-01-02 22:00:00,31693.53000000,32311.92000000,31424.96000000,32145.66000000,3879.06209400,1609628399999,124189288.57427153,91572,1766.47715100,56575341.60307028,0
2021-01-02 23:00:00,32143.53000000,32246.67000000,31500.00000000,32178.33000000,4622.34033800,1609631999999,147557520.62016068,85383,2194.66488100,70073494.65701959,0
2021-01-03 00:00:00,32176.45000000,32497.80000000,31962.99000000,32447.94000000,3346.06214100,1609635599999,108006253.42272902,63472,1758.75207800,56783635.03682368,0
2021-01-03 01:00:00,32447.95000000,32790.07000000,32201.00000000,32585.09000000,3401.15220700,1609639199999,110773399.69333609,70692,1770.81858900,57671008.07579552,0
2021-01-03 02:00:00,32583.04000000,32884.09000000,32550.00000000,32741.67000000,2017.20975900,1609642799999,66039545.22800387,48226,1010.49816300,33089617.80521227,0
2021-01-03 03:00:00,32741.68000000,32756.00000000,32404.00000000,32573.87000000,2125.87880000,1609646399999,69347477.45908845,46215,899.91924100,29356251.53461650,0
2021-01-03 04:00:00,32576.11000000,33250.00000000,32450.00000000,33192.53000000,3436.07098400,1609649999999,112792746.66880588,60917,2045.68522700,67209328.65906662,0
2021-01-03 05:00:00,33192.53000000,34180.00000000,33109.44000000,33758.67000000,10355.07031500,1609653599999,350167811.09683042,176812,5513.67143800,186390893.19406770,0
2021-01-03 06:00:00,33758.67000000,34110.05000000,33651.12000000,33967.13000000,4526.91097400,1609657199999,153551636.94704574,95086,2360.33759000,80068532.23998821,0
2021-01-03 07:00:00,33967.13000000,34778.11000000,33737.19000000,34452.34000000,7968.07402300,1609660799999,273877823.02471700,135337,3835.12822700,131801254.42768407,0
2021-01-03 08:00:00,34451.78000000,34670.41000000,33757.29000000,34367.68000000,6146.77411200,1609664399999,210713141.05225317,110795,2947.24110400,101077763.49754152,0
2021-01-03 09:00:00,34367.35000000,34588.88000000,33800.00000000,34190.55000000,6052.67897200,1609667999999,206713459.38775728,114590,2746.05092500,93808940.47277085,0
2021-01-03 10:00:00,34189.98000000,34350.00000000,33403.00000000,33877.96000000,6335.22664200,1609671599999,214615660.03475803,120518,3038.83693400,102960933.70594279,0
