timestamp,open,high,low,close,volume
2021-02-23 03:30:02.135,51800.5,51816.8,51790.0,51800.5,1.46487
2021-02-23 03:30:04.135,51790.5,51816.8,51782.6,51790.5,2.44915
2021-02-23 03:30:06.147,51779.8,51816.8,51771.7,51779.8,3.84959
2021-02-23 03:30:08.173,51772.4,51816.8,51765.7,51772.4,4.66131
2021-02-23 03:30:10.196,51765.7,51816.8,51765.7,51765.7,4.9934
2021-02-23 03:30:12.198,51781.1,51816.8,51765.7,51781.1,6.14499
2021-02-23 03:30:14.436,51809.0,51816.8,51765.7,51809.0,6.8416
2021-02-23 03:30:16.470,51830.0,51830.0,51765.7,51830.0,7.24284
2021-02-23 03:30:18.476,51840.6,51846.8,51765.7,51840.6,8.57866
2021-02-23 03:30:20.557,51857.2,51857.2,51765.7,51857.2,11.1878
2021-02-23 03:30:22.762,51878.3,51878.3,51765.7,51878.3,13.2915
2021-02-23 03:30:24.771,51878.6,51885.7,51765.7,51878.6,15.884
2021-02-23 03:30:26.821,51897.1,51899.6,51765.7,51897.1,17.6766
2021-02-23 03:30:28.844,51916.4,51916.4,51765.7,51916.4,20.9332
2021-02-23 03:30:30.856,51917.3,51930.1,51765.7,51917.3,22.5474
2021-02-23 03:30:32.881,51906.3,51930.1,51765.7,51906.3,24.0055
2021-02-23 03:30:34.939,51891.2,51930.1,51765.7,51891.2,24.3946
2021-02-23 03:30:37.201,51902.9,51930.1,51765.7,51902.9,29.2516
2021-02-23 03:30:39.231,51858.4,51930.1,51765.7,51858.4,30.634
2021-02-23 03:30:41.257,51855.3,51930.1,51765.7,51855.3,31.4061
2021-02-23 03:30:43.313,51855.3,51930.1,51765.7,51855.3,32.9469
2021-02-23 03:30:45.602,51815.6,51930.1,51765.7,51815.6,33.9705
2021-02-23 03:30:47.735,51806.1,51930.1,51765.7,51806.1,34.2687
2021-02-23 03:30:49.790,51767.6,51930.1,51765.7,51767.6,36.3977
2021-02-23 03:30:51.883,51789.4,51930.1,51760.3,51789.4,38.5546
2021-02-23 03:30:53.897,51754.2,51930.1,51754.2,51754.2,39.9507
2021-02-23 03:30:55.899,51756.4,51930.1,51748.7,51756.4,40.8591
2021-02-23 03:30:57.989,51737.6,51930.1,51734.6,51737.6,41.8827
2021-02-23 03:30:59.998,51720.5,51930.1,51720.5,51720.5,43.939
2021-02-23 03:31:02.058,51708.6,51930.1,51700.1,51708.6,47.3077
2021-02-23 03:31:04.078,51715.4,51930.1,51700.1,51715.4,49.2721
2021-02-23 03:31:06.089,51727.9,51930.1,51700.1,51727.9,50.4891
2021-02-23 03:31:08.112,51732.9,51930.1,51700.1,51732.9,56.6753
2021-02-23 03:31:10.143,51735.4,51930.1,51700.1,51735.4,57.6096
2021-02-23 03:31:12.170,51773.3,51930.1,51700.1,51773.3,58.8261
2021-02-23 03:31:14.182,51756.4,51930.1,51700.1,51756.4,63.2511
2021-02-23 03:31:16.245,51752.0,51930.1,51700.1,51752.0,64.2854
2021-02-23 03:31:18.285,51741.5,51930.1,51700.1,51741.5,64.9198
2021-02-23 03:31:20.290,51733.6,51930.1,51700.1,51733.6,67.0721
2021-02-23 03:31:22.316,51725.4,51930.1,51700.1,51725.4,68.32
2021-02-23 03:31:24.377,51720.7,51930.1,51700.1,51720.7,70.3814
2021-02-23 03:31:26.533,51720.0,51930.1,51700.1,51720.0,71.524
2021-02-23 03:31:28.572,51722.4,51930.1,51700.1,51722.4,73.6208
