price1,price2,price3,price4,price5,price6,price7,price8,price9,price10,price11,price12,price13,price14,price15,price16,price17,price18,price19,price20,price21,price22,price23,price24,price25,price26,price27,price28,price29,price30,low_media,low_media_iter2,low_media_iter3,low_delta,high_media,high_media_iter2,high_media_iter3,high_delta,subida_exa,subida_exa_index
29189.01,29222.73,29231.73,29222.08,29181.01,29172.16,29186.33,29187.55,29226.94,29299.99,29291.07,29297.04,29268.58,29278.66,29291.28,29295.4,29319.2,29295.97,29293.99,29280.01,29251.48,29256.25,29238.1,29229.38,29238.79,29237.21,29242.43,29282.23,29221.71,29238.99,29055.1,29114.9,29143.5,29082.3,29288.4,29246.7,29225.9,29291.5,1,9
29237.13,29232.67,29220,29223.76,29242.65,29242.46,29254.99,29249.8,29280.89,29309.46,29286.75,29277.71,29265.29,29266.48,29267.21,29265.57,29232.36,29223.18,29266.99,29289.69,29270.86,29256.2,29270.15,29251.24,29253.36,29257.19,29231.87,29247.73,29223.82,29234.61,29096.2,29122.1,29137.2,29086.6,29295.5,29271.3,29259.1,29296.8,1,9
29288.94,29277.02,29258.21,29241.86,29250.54,29279.88,29285.8,29329.07,29300.75,29299.01,29297.82,29294.15,29308.8,29299.17,29291.7,29263.51,29296.69,29289.66,29303.98,29325.28,29339.42,29330.62,29343.18,29341.98,29353.18,29355.41,29365.94,29324.88,29366.35,29400.87,29084.3,29111.7,29129.7,29126.2,29273.8,29257.1,29247.4,29316.5,1,5
29502.81,29485.49,29507.12,29502.2,29518.23,29518.07,29519.29,29555,29554.16,29549.99,29563.52,29588.66,29588,29640.65,29587.73,29579.99,29581.65,29586.85,29598.07,29576.51,29575.52,29589.63,29583.03,29619.54,29590.01,29620.19,29649.93,29628.04,29659.47,29648.42,29342.6,29453.7,29510.2,29425.5,29571.7,29556.6,29550,29569.5,1,11
29764.02,29769.95,29793.54,29785,29809.72,29808.81,29833.85,29826.03,29841,29838.86,29842.97,29881.32,29879.92,29880.16,29895.95,29933,29814.41,29844.14,29916.01,30099.01,30218.76,30269.04,30218.21,30263.46,30367.96,30407,30396.34,30274.34,30289.7,30385.32,29524.9,29589.7,29629.7,29574.6,29794.9,29780.9,29774.2,29744.2,1,4
30813.71,30844.3,30781.42,30770.61,30755.48,30816.49,31000,31120.45,31128.92,31322.25,31240.77,31309.83,31300,31278.54,31253.68,31127.95,31150.22,31208.99,31259.78,31249.99,31241.33,31323.01,31251.87,31226.59,31241.11,31260,31299.25,31332.93,31541.17,31459.45,30374.5,30583.2,30709.8,30519.4,31177,31003.1,30931.4,30766.5,1,9
33496.68,33468.04,33515.2,33553.07,33567.92,33508.19,33519.4,33447.63,33466.49,33473.55,33433.13,33442.07,33438.32,33452.11,33420.5,33397.01,33438.82,33449.02,33402.81,33370.73,33375.02,33332.99,33322.57,33337.92,33373.51,33348.37,33312.99,33286.52,33304.55,33264.99,33126.9,33203.2,33252.7,33017.3,33525.5,33506.9,33497.6,33524.6,1,3
31473.86,31461.89,31678.33,31724.71,31677.61,31714.73,31727.24,31741.53,31741.77,31719.97,31751.01,31838.19,31736.9,31675.39,31700.57,31667.85,31640.38,31689.37,31650.93,31653.19,31630.1,31670.38,31632.96,31644.94,31677.84,31638.03,31676.88,31702.16,31665.51,31813.45,31204.5,31348.2,31413.8,30769.6,31720.5,31623.3,31562.9,31600.1,1,3
31544.92,31503.52,31400,31487.96,31480.03,31498.93,31540.63,31517.41,31566.9,31649.91,31691.37,31742.09,31829.99,31929.71,31973.33,31912.71,31881.52,31917.49,31932.06,32000,32133.2,32114.04,32100.24,32072.89,32147.31,32100,32170.22,32216.58,32342.33,32259.95,31227.9,31327.7,31393.8,31198.2,31699,31630.4,31584.9,31693.2,1,11
31959.86,31888.97,31890.87,31815.7,31829.04,31884.02,31874.15,31899.99,32041.42,32130.44,32140.82,32207.44,32225.93,32203.44,32280,32426.82,32424.77,32525.01,32554.99,32501.14,32437.64,32533.47,32579.48,32600,32654.43,32545.6,32507.05,32478.21,32497.86,32440.82,31536.1,31669,31760.9,31924.4,32203.1,32140,32112.4,32347.9,1,11
