price1,price2,price3,price4,price5,price6,price7,price8,price9,price10,price11,price12,price13,price14,price15,price16,price17,price18,price19,price20,price21,price22,price23,price24,price25,price26,price27,price28,price29,price30,low_media,low_media_iter2,low_media_iter3,low_delta,high_media,high_media_iter2,high_media_iter3,high_delta,subida_exa,subida_exa_index
26847.24,26829.63,26833.99,26811.2,26774.43,26767.15,26751.82,26726.79,26726,26723.63,26709.33,26670.25,26646.19,26658.32,26678.2,26652.12,26637.76,26606,26612.92,26632.89,26596.84,26586.6,26618.27,26661.69,26679.73,26677.01,26684.36,26704.4,26664.49,26630.03,26708.6,26776,26807.6,26722.3,26943.5,26909.1,26883.6,26939.3,1,4
26620.01,26617.12,26650.01,26673.9,26672.6,26627.3,26590.22,26549.99,26580,26571.89,26633.67,26648.34,26656.75,26625.54,26589.99,26636.7,26577.82,26551.49,26575.8,26559.08,26569.05,26566.43,26539.05,26506.01,26476.1,26537.02,26530.69,26520.18,26444.6,26416.67,26575.3,26603,26614.6,26714.7,26884.9,26833.9,26804.2,26940.1,1,6
26503.9,26500.58,26512.74,26516.29,26485.58,26436.7,26364.55,26290,26330.49,26307.81,26289.81,26266.42,26292.85,26356.77,26378.03,26412.33,26352.05,26400,26449.66,26439.38,26423.79,26402.28,26434.94,26398.07,26454.35,26476.7,26497,26510.45,26528.84,26504.51,26382.6,26398.8,26409.3,26479.6,26841.4,26737.3,26703.8,26715.8,1,6
26416.99,26421.99,26428.01,26343.43,26275.6,26313.34,26297.82,26259.81,26256.14,26211.02,26208.88,26153.88,26130.84,26184.29,26232.62,26253.14,26191.77,26111.01,26154.96,26199.4,26162.45,26070.01,26079.91,26025.85,25976.99,25955.64,25987.47,26155.3,26216.4,26117.01,26355.2,26416,26442.9,26349,26719.8,26646.8,26607.4,26592.7,1,0
26389.35,26403.06,26381.13,26384.2,26359.35,26377.3,26362.7,26364.47,26291.21,26300.25,26330.02,26308.56,26278,26284,26284.26,26341.77,26342.79,26343.67,26345.8,26394.16,26417.7,26408.22,26402.02,26423.49,26414.83,26443.99,26441.05,26438.76,26433.92,26428.03,26124.8,26240.5,26318,25949.8,26654.6,26545.2,26494.3,26215.1,1,8
26260.75,26228.44,26195.2,26165.98,26192.35,26199.98,26221.24,26239.79,26244.21,26247.11,26236.57,26239.97,26261.4,26270.05,26268.02,26243.23,26225.59,26223.84,26259.3,26263.75,26268.08,26300,26311.21,26354.61,26377.33,26400,26390.96,26402.01,26435.63,26441,26073.4,26188.4,26215.2,26186.3,26546.9,26456.4,26413.5,26454,1,2
26610.03,26586.43,26631.21,26614.53,26582.05,26621.89,26612.82,26615.89,26645.91,26665.36,26651.21,26662.25,26640.84,26659.14,26681.74,26665.08,26623.99,26648.42,26682.49,26696.87,26694.5,26676.91,26697.91,26690.83,26714.84,26700,26804.83,26767.61,26876.4,26926.11,26557,26577,26587.8,26602,26816.7,26781.2,26747.2,26862.6,1,1
26810.61,26829.28,26683.68,26709.88,26702.21,26715.32,26716.66,26742.01,26670.44,26684.35,26703.27,26717.48,26730.13,26726.87,26755.4,26765.24,26786.09,26791.88,26781.56,26771.65,26774.07,26800.34,26799.94,26809.99,26791.94,26759.78,26730.77,26759.62,26802.27,26825,26691.6,26748.7,26792,26715,26959.5,26930.1,26912.1,26968.7,1,2
26813.92,26797.79,26810,26788.52,26783.86,26766.79,26765.2,26737.49,26762.48,26752.41,26736.42,26765.19,26742.49,26708.17,26739.46,26771.08,26765.75,26788.21,26788.7,26773.85,26782,26737.88,26742.08,26694.96,26685.72,26651.62,26649.23,26645.11,26664.49,26655.83,26640.1,26710.5,26744.1,26765.1,26912.4,26870.6,26848.8,27019.4,1,7
26495.4,26538.27,26552.74,26537,26526.13,26540,26572.67,26622.7,26590.08,26598.5,26600,26588.41,26565.24,26631.72,26649.88,26672.16,26661.1,26648.28,26631.68,26638.99,26621.81,26638.38,26618.09,26613.83,26624.07,26631.24,26615.11,26604.81,26614.97,26574.48,26487.9,26501,26506.5,26536.5,26826.1,26765.5,26734,26768.2,1,0
